Speed,Torque,Inj Pressure,Inj Duration,SOI,Inj Mass,Final Torque,AreaFault
1300,150,5919469.755,1.2,361.6023041,5.999348854,149.7822482,0.7
1300,200,7576478.919,1.2,362.970829,7.308039959,199.7109833,0.7
1300,250,9879527.761,1.2,362.5053008,8.641930985,249.7303393,0.7
1300,300,11822820.47,1.2,362.1249228,10.01585001,299.7309185,0.7
1300,350,13261639.35,1.2,361.0403664,11.46685806,349.9006301,0.7
1300,400,14430651.28,1.2,363.7417842,13.01668234,399.8525732,0.7
1300,450,15539312.99,1.2,362.7010793,14.73315569,449.7181648,0.7
1300,500,16827140.86,1.2,360.1093933,16.99980246,499.8338716,0.7
1400,100,5072277.979,1.2,361.0347189,5.291599879,99.71744402,0.7
1400,150,6.26E+06,1.2,358.9334,6.7449,149.8263,0.7
1400,200,8026062.235,1.2,360.404109,8.146711483,199.7722048,0.7
1400,250,10379838.36,1.2,361.8376577,9.573796547,249.7368754,0.7
1400,300,12214557.22,1.2,362.0690237,11.04667212,299.7802693,0.7
1400,350,13430276.87,1.2,361.1002517,12.59178362,349.75189,0.7
1400,400,14600809.85,1.2,359.7267278,14.28470926,399.7597699,0.7
1400,450,15693022.61,1.2,360.7071026,16.20501253,449.9094643,0.7
1400,500,17110046.12,1.2,361.6012485,19.04804853,499.9507796,0.7
1500,100,5.16E+06,1.2,360.0195,5.9501,99.7394,0.7
1500,150,6.37E+06,1.2,360.4354645,7.495744682,149.6924401,0.7
1500,200,8.56E+06,1.2,360.9421443,9.023511487,199.7061185,0.7
1500,250,1.08E+07,1.2,361.1576362,10.55088317,249.7383568,0.7
1500,300,1.24E+07,1.2,360.848,12.1165,299.7433,0.7
1500,350,1.36E+07,1.2,359.2382947,13.79841274,349.782123,0.7
1500,400,1.47E+07,1.2,360.1367807,15.59772417,399.740669,0.7
1500,450,1.59E+07,1.2,359.4230527,17.77265033,449.7396962,0.7
1500,500,1.74E+07,1.2,358.2462724,21.18475593,499.7629302,0.7
1600,100,5.46E+06,1.2,356.8627,6.6709,99.7124,0.7
1600,150,6.54E+06,1.2,363.3576909,8.374311731,149.7524525,0.7
1600,200,9.00E+06,1.2,360.8053103,9.933819652,199.7681251,0.7
1600,250,1.11E+07,1.2,362.0007543,11.54443935,249.7252433,0.7
1600,300,1.25E+07,1.2,360.3330854,13.20414255,299.826439,0.7
1600,350,1.39E+07,1.2,356.8617092,15.0832169,349.757557,0.7
1600,400,1.50E+07,1.2,355.2743891,17.2274738,400.196221,0.7
1600,450,1.60E+07,1.2,358.7172857,19.46206309,449.7269157,0.7
1600,500,1.77E+07,1.2,356.7391,23.8175,499.7216,0.7
1000,100,4818358.748,1.2,365.0555436,3.193793716,99.78976756,0.8
1000,150,5300191.909,1.2,366.1393895,4.183121474,149.7779328,0.8
1000,200,5989764.761,1.2,365.5574675,5.22206189,199.7184538,0.8
1000,250,7181068.559,1.2,365.7758577,6.296680766,249.7548323,0.8
1000,300,9131445.351,1.2,365.1782063,7.415410798,299.7654545,0.8
1000,350,11291759.23,1.2,365.2036527,8.566267278,349.7698668,0.8
1000,400,12885964.14,1.2,365.2038246,9.765488666,399.7283562,0.8
1000,450,14139185.73,1.2,365.1457246,11.02174068,449.8451498,0.8
1000,500,15279695.91,1.2,365.1508802,12.41275739,499.7299957,0.8
1100,100,4859228.806,1.2,362.4920916,3.655064816,99.93608679,0.8
1100,150,5453065.317,1.2,365.2786561,4.751302227,149.8420518,0.8
1100,200,6296882.775,1.2,366.0085379,5.871165468,199.8796083,0.8
1100,250,7661532.239,1.2,365.7599414,7.014923648,249.7914485,0.8
1100,300,9667220.296,1.2,364.587845,8.192086364,299.8024526,0.8
1100,350,11598221.56,1.2,364.706035,9.419069586,349.7228385,0.8
1100,400,13254352.38,1.2,368.7678313,10.86945706,399.8474925,0.8
1100,450,14268655.13,1.2,365.7039015,12.11820388,450.1275199,0.8
1100,500,15371513.51,1.2,364.2944944,13.70346152,499.7541169,0.8
1200,100,4904650.187,1.2,360.6924098,4.124914123,99.8171943,0.8
1200,150,5568501.168,1.2,359.498591,5.399841393,150.1332374,0.8
1200,200,6389457.608,1.2,362.9780772,6.550442359,199.7665409,0.8
1200,250,7922362.148,1.2,361.6713135,7.802422852,249.7376886,0.8
1200,300,10345424.86,1.2,366.9803277,9.127188393,299.7965867,0.8
1200,350,1.17E+07,1.2,362.9448,10.3833,349.8049,0.8
1200,400,13071979.45,1.2,363.6300774,11.7785462,399.7587876,0.8
1200,450,14333537.82,1.2,362.3624058,13.32098287,449.8051641,0.8
1200,500,15435765.5,1.2,362.2341677,15.23071122,499.7298883,0.8
1300,100,4750561.302,1.2,360.920231,4.593153903,99.79033583,0.8
1300,150,5380225.698,1.2,361.9727777,5.996608509,149.7338862,0.8
1300,200,6275447.518,1.2,362.8101038,7.3083325,199.740877,0.8
1300,250,7901942.956,1.2,362.0021351,8.645474085,249.7798591,0.8
1300,300,10252637.9,1.2,361.8612384,10.01883695,299.7523176,0.8
1300,350,12009379.15,1.2,365.2501725,11.51087083,349.7976947,0.8
1300,400,1.32E+07,1.2,363.3022,13.0007,399.8102,0.8
1300,450,14450005.23,1.2,360.9832694,14.72644402,450.0372835,0.8
1300,500,15624112.89,1.2,360.7385117,16.97025322,499.7294388,0.8
1400,100,4.82E+06,1.2,359.2820192,5.303556591,99.88071252,0.8
1400,150,5421073.479,1.2,361.3051965,6.719868826,149.8074643,0.8
1400,200,6522822.627,1.2,361.0306113,8.140136372,199.7455509,0.8
1400,250,8381017.148,1.2,361.4289785,9.574806587,249.7345305,0.8
1400,300,10510634.29,1.2,361.7319681,11.04508161,299.7268241,0.8
1400,350,12092878.57,1.2,361.2362136,12.59075882,349.7510523,0.8
1400,400,13441091.28,1.2,361.0642285,14.26748955,399.8192466,0.8
1400,450,14527393.71,1.2,360.0331585,16.20166263,449.7364658,0.8
1400,500,15887918.96,1.2,360.3397806,18.92896638,499.7599391,0.8
1500,100,4786887.089,1.2,359.8428901,5.95068059,99.75757614,0.8
1500,150,5554907.581,1.2,360.0843642,7.498321829,149.7464874,0.8
1500,200,6823537.002,1.2,360.8263982,9.023680411,199.7070445,0.8
1500,250,8.91E+06,1.2,361.2731285,10.55018527,249.7212291,0.8
1500,300,10880014.45,1.2,361.2337187,12.11522162,299.7375578,0.8
1500,350,12325565.17,1.2,360.7098171,13.77744587,349.8021052,0.8
1500,400,13524659.16,1.2,360.1964406,15.59826615,399.7518253,0.8
1500,450,14712922.94,1.2,358.8590207,17.78754194,449.8086806,0.8
1500,500,16234335.28,1.2,358.2468038,21.18276468,499.7417318,0.8
1600,100,4738492.636,1.2,360.5843266,6.659491023,99.73454735,0.8
1600,150,5611732.913,1.2,360.5013798,8.324311366,149.8660341,0.8
1600,200,7369192.716,1.2,358.2234535,9.964534085,199.7203866,0.8
1600,250,9320191.1,1.2,359.9868076,11.54499391,249.8458411,0.8
1600,300,11097136.72,1.2,360.7239401,13.20133148,299.7352374,0.8
1600,350,12470269.59,1.2,361.2999333,15.02028668,349.9855528,0.8
1600,400,13666608.85,1.2,359.2753101,16.98079151,399.9351214,0.8
1600,450,14876229.03,1.2,358.5684124,19.46157929,449.7250659,0.8
1600,500,16571229.08,1.2,356.9342049,23.82052265,499.7338029,0.8
1000,100,4752376.064,1.2,366.5599132,3.197928733,99.79704398,0.9
1000,150,5045415.362,1.2,365.4506202,4.180194725,149.751232,0.9
1000,200,5523888.624,1.2,364.9164505,5.229467027,200.0877574,0.9
1000,250,6288249.803,1.2,364.9395796,6.296639199,249.7412595,0.9
1000,300,7550847.106,1.2,364.8821815,7.416410107,299.7402108,0.9
1000,350,9550302.951,1.2,365.3200013,8.565002883,349.7251558,0.9
1000,400,11476302.21,1.2,365.3135645,9.7659096,399.7473474,0.9
1000,450,12903143.89,1.2,364.8044305,11.02057731,449.7505358,0.9
1000,500,14142517.59,1.2,364.8269984,12.41505735,499.7491288,0.9
1100,100,4853241.025,1.2,367.2247287,3.675291091,99.9747343,0.9
1100,150,5181913.184,1.2,365.4101783,4.7503317,149.7763038,0.9
1100,200,5763191.554,1.2,365.7252188,5.86859348,199.9100159,0.9
1100,250,6529166.213,1.2,363.5107194,7.013085164,249.7683243,0.9
1100,300,8253318.223,1.2,367.2673498,8.235680679,299.9218782,0.9
1100,350,10034876.88,1.2,361.103655,9.497758,349.7511539,0.9
1100,400,11828509.11,1.2,366.4593887,10.74124099,399.8986629,0.9
1100,450,13021241.27,1.2,363.3797901,12.07097229,449.7234647,0.9
1100,500,14268305.95,1.2,363.6106769,13.69302715,499.797352,0.9
1200,100,4.74E+06,1.2,362.1740881,4.113315934,99.74672139,0.9
1200,150,5178249.858,1.2,360.7052709,5.366981511,149.8551154,0.9
1200,200,5805808.425,1.2,363.356768,6.550527125,199.8154865,0.9
1200,250,7341957.551,1.2,356.8028009,8.018288138,249.7385846,0.9
1200,300,8583515.614,1.2,365.9958045,9.098455162,300.0245653,0.9
1200,350,10390653.44,1.2,364.1620935,10.38173855,349.7349663,0.9
1200,400,11961444.22,1.2,363.9944127,11.78237757,399.7270726,0.9
1200,450,13223554.38,1.2,362.8984777,13.31975406,449.7200009,0.9
1200,500,14487207.87,1.2,362.2741571,15.241503,499.9645654,0.9
1300,100,4587929,1.2,361.1625158,4.591380962,99.74546286,0.9
